10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
8.8,8.8,8.8,8.8,8.8,8.9,8.9,8.9,8.896999999999986,8.896999999999986,8.896999999999986,8.896999999999986,8.896999999999986,8.799999999999985,8.799999999999985,8.799999999999985
28.58,28.63,28.56,28.56,27.68,27.68,27.68,27.68,27.67999999999997,27.67999999999997,27.67999999999997,27.67999999999997,27.67999999999997,28.578399999999984,28.578399999999984,28.578399999999984
9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.950000000000019,9.950000000000019,9.950000000000019,9.950000000000019,9.950000000000019,9.950000000000019,9.950000000000019,9.950000000000019
89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.98999999999984,89.98999999999984,89.98999999999984,89.98999999999984,89.98999999999984,89.98999999999984,89.98999999999984,89.98999999999984
18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.990000000000006,18.990000000000006,18.990000000000006,18.990000000000006,18.990000000000006,18.990000000000006,18.990000000000006,18.990000000000006
79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.48999999999984,79.48999999999984,79.48999999999984,79.48999999999984,79.48999999999984,79.48999999999984,79.48999999999984,79.48999999999984
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
30.6,30.6,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,32.67399999999997,32.67399999999997,32.67399999999997
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006
21.59,23.99,23.99,33.99,33.99,33.99,33.99,33.99,33.98999999999992,33.98999999999992,33.98999999999992,33.98999999999992,33.98999999999992,24.045999999999978,24.045999999999978,24.045999999999978
26.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.989999999999938,29.989999999999938,29.989999999999938,29.989999999999938,29.989999999999938,29.779999999999937,29.779999999999937,29.779999999999937
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.94999999999993,38.94999999999993,38.94999999999993,38.94999999999993,38.94999999999993,38.94999999999993,38.94999999999993,38.94999999999993
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968
24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963
9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,19.02759999999996,19.02759999999996,19.02759999999996,19.02759999999996,19.02759999999996,10.060900000000021,10.060900000000021,10.060900000000021
14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.990000000000007,14.990000000000007,14.990000000000007,14.990000000000007,14.990000000000007,14.990000000000007,14.990000000000007,14.990000000000007
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988
169.99,169.99,144.48,169.99,169.99,169.99,169.99,169.99,169.9899999999999,169.9899999999999,169.9899999999999,169.9899999999999,169.9899999999999,152.64319999999972,152.64319999999972,152.64319999999972
159.95,159.95,249.95,199.95,199.95,199.95,199.95,199.95,199.95000000000036,199.95000000000036,199.95000000000036,199.95000000000036,199.95000000000036,220.4500000000004,220.4500000000004,220.4500000000004
199.99,199.99,199.99,199.99,169.99,169.99,169.99,169.99,170.28999999999988,170.28999999999988,170.28999999999988,170.28999999999988,170.28999999999988,199.99000000000015,199.99000000000015,199.99000000000015
22.49,34.99,34.99,22.49,22.49,22.49,22.49,22.49,22.489999999999988,22.489999999999988,22.489999999999988,22.489999999999988,22.489999999999988,32.86499999999992,32.86499999999992,32.86499999999992
31.49,39.99,39.99,34.99,34.99,34.99,34.99,34.99,34.98999999999992,34.98999999999992,34.98999999999992,34.98999999999992,34.98999999999992,39.34499999999989,39.34499999999989,39.34499999999989
49.96,57.0,57.0,57.0,49.96,49.96,49.96,49.96,50.03040000000003,50.03040000000003,50.03040000000003,50.03040000000003,50.03040000000003,56.507200000000005,56.507200000000005,56.507200000000005
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006
599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
19.82,24.99,24.99,19.82,19.82,19.82,19.82,19.82,19.819999999999983,19.819999999999983,19.819999999999983,19.819999999999983,19.819999999999983,24.576399999999975,24.576399999999975,24.576399999999975
24.17,24.99,24.99,24.99,24.17,24.99,24.99,24.99,24.97359999999997,24.97359999999997,24.97359999999997,24.97359999999997,24.97359999999997,24.948999999999973,24.948999999999973,24.948999999999973
12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.929999999999996,12.929999999999996,12.929999999999996,12.929999999999996,12.929999999999996,12.929999999999996,12.929999999999996,12.929999999999996
24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963
29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.969999999999956,29.969999999999956,29.969999999999956,29.969999999999956,29.969999999999956,29.969999999999956,29.969999999999956,29.969999999999956
9.29,8.79,7.9,7.9,8.96,8.94,8.94,8.94,8.940400000000022,8.940400000000022,8.940400000000022,8.940400000000022,8.940400000000022,8.133599999999987,8.133599999999987,8.133599999999987
34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.969999999999935,34.969999999999935,34.969999999999935,34.969999999999935,34.969999999999935,34.969999999999935,34.969999999999935,34.969999999999935
79.99,129.99,129.99,85.99,85.99,85.99,85.99,85.99,86.42999999999984,86.42999999999984,86.42999999999984,86.42999999999984,86.42999999999984,127.16999999999982,127.16999999999982,127.16999999999982
8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.980000000000011,8.980000000000011,8.980000000000011,8.980000000000011,8.980000000000011,8.980000000000011,8.980000000000011,8.980000000000011
69.97,79.97,79.97,69.97,69.97,69.97,69.97,69.97,69.97000000000006,69.97000000000006,69.97000000000006,69.97000000000006,69.97000000000006,78.97000000000007,78.97000000000007,78.97000000000007
5.99,6.89,6.97,6.97,6.97,6.97,6.97,6.97,6.970000000000017,6.970000000000017,6.970000000000017,6.970000000000017,6.970000000000017,6.91080000000001,6.91080000000001,6.91080000000001
99.59,123.59,123.59,123.59,99.59,99.59,99.59,99.59,99.5900000000001,99.5900000000001,99.5900000000001,99.5900000000001,99.5900000000001,121.19000000000011,121.19000000000011,121.19000000000011
