10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
8.8,8.8,8.8,8.8,8.8,8.9,8.9,8.9,8.867654826886781,8.867721393833552,8.867787960780321,8.867854527727092,8.86792109467386,8.800755045382996,8.800821612329765,8.800888179276535
28.58,28.63,28.56,28.56,27.68,27.68,27.68,27.68,27.76291470228912,27.762101600086666,27.761288497884216,27.760475395681762,27.75966229347931,28.580082415753655,28.5792693135512,28.57845621134875
9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99
18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
30.6,30.6,34.0,34.0,34.0,34.0,34.0,34.0,34.28683697363166,34.289346547524886,34.291856121418114,34.294365695311335,34.29687526920456,31.76471521093891,31.767224784832134,31.769734358725362
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
21.59,23.99,23.99,33.99,33.99,33.99,33.99,33.99,35.35261404484263,35.36456242021756,35.37651079559249,35.388459170967415,35.40040754634235,23.344496793039447,23.356445168414375,23.368393543789303
26.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,30.116989176997595,30.118097320876178,30.11920546475476,30.120313608633342,30.12142175251192,29.003304579022796,29.004412722901378,29.00552086677996
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99
9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,17.921471560250918,17.92928937826472,17.937107196278518,17.944925014292316,17.952742832306114,10.064564456382987,10.072382274396785,10.080200092410585
14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
169.99,169.99,144.48,169.99,169.99,169.99,169.99,169.99,171.05474797558168,171.06413759583683,171.07352721609197,171.08291683634712,171.09230645660227,161.61817961915875,161.6275692394139,161.63695885966905
159.95,159.95,249.95,199.95,199.95,199.95,199.95,199.95,201.23762990343874,201.24875049925208,201.25987109506542,201.27099169087873,201.28211228669207,190.0614311110415,190.0725517068548,190.08367230266813
199.99,199.99,199.99,199.99,169.99,169.99,169.99,169.99,172.94580737875026,172.9192197570698,172.89263213538933,172.86604451370889,172.8394568920284,199.6663671676156,199.6397795459351,199.61319192425466
22.49,34.99,34.99,22.49,22.49,22.49,22.49,22.49,21.44284319176763,21.433633132588305,21.424423073408985,21.415213014229664,21.406002955050344,30.69895266698515,30.689742607805826,30.680532548626505
31.49,39.99,39.99,34.99,34.99,34.99,34.99,34.99,34.71929131653758,34.716900127390865,34.71450893824415,34.71211774909743,34.70972655995072,37.12243640898732,37.120045219840605,37.11765403069389
49.96,57.0,57.0,57.0,49.96,49.96,49.96,49.96,50.951630733567754,50.947991949315146,50.94435316506253,50.94071438080992,50.937075596557314,54.60860890744062,54.60497012318801,54.601331338935395
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
19.82,24.99,24.99,19.82,19.82,19.82,19.82,19.82,19.386895944115093,19.383086663638526,19.37927738316196,19.375468102685392,19.371658822208822,23.215222823065055,23.211413542588488,23.20760426211192
24.17,24.99,24.99,24.99,24.17,24.99,24.99,24.99,24.84027202387012,24.840394037167847,24.840516050465574,24.8406380637633,24.840760077061027,24.717648659654945,24.71777067295267,24.717892686250398
12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93
24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99
29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
9.29,8.79,7.9,7.9,8.96,8.94,8.94,8.94,8.745781848368326,8.745866355759867,8.745950863151409,8.74603537054295,8.746119877934492,8.660851919869057,8.6609364272606,8.661020934652141
34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97
79.99,129.99,129.99,85.99,85.99,85.99,85.99,85.99,82.55798638901723,82.5277832684632,82.49758014790913,82.4673770273551,82.43717390680105,112.91212254583331,112.88191942527928,112.85171630472523
8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98
69.97,79.97,79.97,69.97,69.97,69.97,69.97,69.97,69.1322745534141,69.12490650607064,69.1175384587272,69.11017041138373,69.10280236404027,76.53716213358813,76.52979408624466,76.5224260389012
5.99,6.89,6.97,6.97,6.97,6.97,6.97,6.97,7.0148458583612,7.015237350322263,7.015628842283325,7.016020334244387,7.01641182620545,6.621396437493638,6.621787929454699,6.622179421415762
99.59,123.59,123.59,123.59,99.59,99.59,99.59,99.59,102.97055931898097,102.95815437266526,102.94574942634955,102.93334448003384,102.92093953371813,115.43753036627484,115.42512541995913,115.4127204736434
32.99,31.11,28.65,22.41,22.41,22.41,28.16,28.16,23.931141897236294,23.924284594581188,23.91742729192608,23.910569989270975,23.903712686615865,30.822731065619347,30.81587376296424,30.80901646030913
35.95,39.95,44.95,39.95,39.95,39.95,39.95,39.95,39.91062662991128,39.91026377478967,39.90990091966806,39.90953806454645,39.909175209424845,40.27529602712799,40.274933172006385,40.27457031688478
