10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
8.8,8.8,8.8,8.8,8.8,8.9,8.9,8.9,12.070066273384322,12.101398539901911,12.132785997717857,12.164228646832155,12.195726487244805,8.481167609237742,8.457032620912322,8.432952823885255
28.58,28.63,28.56,28.56,27.68,27.68,27.68,27.68,9.238963713559343,9.057298058162376,8.875313155559779,8.693009005751524,8.51038560873758,30.428696219028133,30.56787400531799,30.70673254440219
9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99
18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
30.6,30.6,34.0,34.0,34.0,34.0,34.0,34.0,-2.2866145629919075,-2.6411779533685684,-2.9963716613384044,-3.352195686901529,-3.7086500300578855,35.41459462299457,35.69350041381581,35.97177588704383
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
21.59,23.99,23.99,33.99,33.99,33.99,33.99,33.99,8.646175431758587,8.397384205044998,8.148132711733503,7.898420951824214,7.648248925317075,26.009689066889717,26.223465771015167,26.436782208542766
26.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,-2.082702181860995,-2.3959652214232863,-2.709783199912845,-3.024156117329558,-3.3390839736735387,32.216700789301086,32.461151371585615,32.70504701494295
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99
9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,223.08658456616988,225.09746504269074,227.11188139495832,229.12983362297214,231.15132172673174,-10.410066473362292,-11.952741121819713,-13.49187989453091
14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
169.99,169.99,144.48,169.99,169.99,169.99,169.99,169.99,443.04820869887084,445.7131177519901,448.38271442020584,451.05699870351725,453.7359706019251,134.47435559362344,132.4282114752125,130.38675497189752
159.95,159.95,249.95,199.95,199.95,199.95,199.95,199.95,-762.1497184353321,-771.5443159699819,-780.9555168048173,-790.3833209398421,-799.8277283750525,286.20350960720793,293.4952287609875,300.7703446145797
199.99,199.99,199.99,199.99,169.99,169.99,169.99,169.99,-465.927111660871,-472.191126635143,-478.46615213272514,-484.7521881536193,-491.04923469782443,263.4232458912419,268.2248068445863,273.01535727461976
22.49,34.99,34.99,22.49,22.49,22.49,22.49,22.49,-111.53918056274227,-112.8467172337559,-114.15654575597947,-115.46866612941321,-116.78307835405664,43.97000941120683,44.965783206186785,45.95926514995679
31.49,39.99,39.99,34.99,34.99,34.99,34.99,34.99,-56.039824770684255,-56.928312985246116,-57.81836536904026,-58.7099819220669,-59.60316264432582,46.179821352084495,46.86332321607507,47.54526091083327
49.96,57.0,57.0,57.0,49.96,49.96,49.96,49.96,-174.53248999010577,-176.7375694369091,-178.94653494319815,-181.1593865089734,-183.37612413423483,77.11099288829519,78.81140322510768,80.50792750243394
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
19.82,24.99,24.99,19.82,19.82,19.82,19.82,19.82,-35.61446908081606,-36.15526624794757,-36.69701132473952,-37.239704311191794,-37.783345207304606,28.704131892541778,29.115983934145465,29.526888066088706
24.17,24.99,24.99,24.99,24.17,24.99,24.99,24.99,24.836270459958406,24.836353405292144,24.83643628166175,24.836519089067234,24.83660182750859,24.718047999206583,24.718200253487332,24.718352438803954
12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93
24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99
29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
9.29,8.79,7.9,7.9,8.96,8.94,8.94,8.94,45.61906337621581,45.97914814019564,46.339868389126664,46.701224123008956,47.063215341842564,4.981050712996705,4.702473100959658,4.424530973873871
