,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,9.80,9.80,8.80,9.80,9.80,9.80,9.80,9.80,9.74,9.74,7.90,9.74,9.60,9.77,9.80,9.80
Product2,28.53,28.53,28.55,28.58,27.68,27.68,28.27,28.27,51.52,51.56,49.23,53.39,57.31,60.16,52.38,49.44
Product3,9.95,6.96,6.96,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
Product4,68.39,68.38,68.38,68.38,68.38,89.99,89.99,89.99,68.38,68.38,68.38,68.38,68.38,68.38,68.38,68.38
Product5,18.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,18.99,18.99,18.99,18.99,16.99,16.99
Product6,79.49,47.49,47.49,79.49,79.49,79.49,79.49,79.49,46.99,46.99,46.99,46.99,46.99,46.99,46.99,55.99
Product7,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
Product8,16.00,12.80,12.80,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,11.20,11.20,11.20,11.20,23.95
Product9,30.60,27.20,27.20,34.00,34.00,34.00,34.00,34.00,27.20,27.20,27.20,27.20,27.20,27.20,27.20,34.00
Product10,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,14.39,14.39,14.39,14.39,14.39,14.39,14.39,17.99
Product11,21.59,33.99,23.99,33.99,33.99,33.99,33.99,33.99,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24
Product12,26.99,23.99,23.99,29.99,29.99,29.99,29.99,29.99,23.99,23.99,23.99,23.99,23.99,23.99,21.00,29.99
Product13,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,23.97,23.97
Product14,35.05,31.16,31.16,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
Product15,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98
Product16,24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,19.99,19.99,19.99,19.99,19.99,19.99,16.99,19.99
Product17,9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97
Product18,14.99,11.99,11.99,14.99,14.99,14.99,14.99,14.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,14.99
Product19,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
Product20,169.99,144.49,144.48,169.99,169.99,169.99,169.99,169.99,144.44,144.44,144.44,144.44,144.44,144.44,144.44,169.99
Product21,159.95,159.95,149.95,199.95,199.95,199.95,199.95,199.95,149.95,149.95,149.95,149.95,149.95,149.95,149.95,199.95
