10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
9.8,9.8,8.8,9.8,9.8,9.8,9.8,9.8,9.799999999999983,9.799999999999983,9.799999999999983,9.799999999999983,9.799999999999983,9.159999999999984,9.159999999999984,9.159999999999984
28.53,28.53,28.55,28.58,27.68,27.68,28.27,28.27,28.18739999999998,28.18739999999998,28.18739999999998,28.18739999999998,28.18739999999998,28.543800000000033,28.543800000000033,28.543800000000033
9.95,6.96,6.96,9.95,9.95,9.95,9.95,9.95,9.950000000000019,9.950000000000019,9.950000000000019,9.950000000000019,9.950000000000019,7.199200000000004,7.199200000000004,7.199200000000004
68.39,68.38,68.38,68.38,68.38,89.99,89.99,89.99,89.77389999999986,89.77389999999986,89.77389999999986,89.77389999999986,89.77389999999986,68.3808000000001,68.3808000000001,68.3808000000001
18.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.990000000000006,16.990000000000006,16.990000000000006,16.990000000000006,16.990000000000006,17.19000000000001,17.19000000000001,17.19000000000001
79.49,47.49,47.49,79.49,79.49,79.49,79.49,79.49,79.48999999999984,79.48999999999984,79.48999999999984,79.48999999999984,79.48999999999984,49.409999999999876,49.409999999999876,49.409999999999876
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984,84.98999999999984
16.0,12.8,12.8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,13.279999999999978,13.279999999999978,13.279999999999978
30.6,27.2,27.2,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,27.573999999999977,27.573999999999977,27.573999999999977
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006,17.990000000000006
21.59,33.99,23.99,33.99,33.99,33.99,33.99,33.99,33.98999999999992,33.98999999999992,33.98999999999992,33.98999999999992,33.98999999999992,26.74599999999996,26.74599999999996,26.74599999999996
26.99,23.99,23.99,29.99,29.99,29.99,29.99,29.99,29.989999999999938,29.989999999999938,29.989999999999938,29.989999999999938,29.989999999999938,24.349999999999973,24.349999999999973,24.349999999999973
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
35.05,31.16,31.16,38.95,38.95,38.95,38.95,38.95,38.94999999999993,38.94999999999993,38.94999999999993,38.94999999999993,38.94999999999993,31.51029999999998,31.51029999999998,31.51029999999998
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968,199.97999999999968
24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,24.989999999999963,20.490000000000006,20.490000000000006,20.490000000000006
9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,18.947499999999962,18.947499999999962,18.947499999999962,18.947499999999962,18.947499999999962,9.97000000000002,9.97000000000002,9.97000000000002
14.99,11.99,11.99,14.99,14.99,14.99,14.99,14.99,14.990000000000007,14.990000000000007,14.990000000000007,14.990000000000007,14.990000000000007,12.350000000000007,12.350000000000007,12.350000000000007
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988,4.779999999999988
169.99,144.49,144.48,169.99,169.99,169.99,169.99,169.99,169.9899999999999,169.9899999999999,169.9899999999999,169.9899999999999,169.9899999999999,147.54389999999975,147.54389999999975,147.54389999999975
