10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
9.8,9.8,8.8,9.8,9.8,9.8,9.8,9.8,9.84173845455044,9.84210653060905,9.84247460666766,9.84284268272627,9.84321075878488,9.471822015647149,9.472190091705759,9.472558167764369
28.53,28.53,28.55,28.58,27.68,27.68,28.27,28.27,28.040427976521446,28.039940510685952,28.039453044850458,28.038965579014963,28.038478113179472,28.53033114119241,28.52984367535692,28.529356209521424
9.95,6.96,6.96,9.95,9.95,9.95,9.95,9.95,10.200479908529184,10.202682954684878,10.20488600084057,10.207089046996265,10.209292093151959,7.9864185220571535,7.988621568212848,7.990824614368541
68.39,68.38,68.38,68.38,68.38,89.99,89.99,89.99,82.9997847929768,83.01416621636085,83.0285476397449,83.04292906312895,83.05731048651302,68.54645429200178,68.56083571538583,68.57521713876989
18.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.905340548668267,16.904601786082548,16.903863023496825,16.903124260911106,16.902385498325383,17.647796947318135,17.647058184732412,17.646319422146693
79.49,47.49,47.49,79.49,79.49,79.49,79.49,79.49,82.17072142907486,82.19429918057392,82.21787693207298,82.24145468357204,82.2650324350711,58.475081172518024,58.498658924017086,58.52223667551615
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
16.0,12.8,12.8,16.0,16.0,16.0,16.0,16.0,16.26807214290749,16.270429918057395,16.2727876932073,16.275145468357206,16.277503243507113,13.898508117251803,13.90086589240171,13.903223667551615
30.6,27.2,27.2,34.0,34.0,34.0,34.0,34.0,34.713574370942354,34.71984053953163,34.72610670812091,34.73237287671018,34.73863904529946,28.41607493871925,28.422341107308526,28.428607275897804
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
21.59,33.99,23.99,33.99,33.99,33.99,33.99,33.99,34.93227314376111,34.94053423237869,34.94879532099626,34.957056409613834,34.96531749823141,26.62987908309904,26.638140171716614,26.64640126033419
26.99,23.99,23.99,29.99,29.99,29.99,29.99,29.99,30.619624444949135,30.62515341723379,30.630682389518448,30.636211361803102,30.641740334087757,25.063007298869927,25.068536271154585,25.07406524343924
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
35.05,31.16,31.16,38.95,38.95,38.95,38.95,38.95,39.767674052987296,39.774854348910004,39.78203464483271,39.78921494075542,39.79639523667813,32.55147665066449,32.558656946587206,32.565837242509915
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,25.40886272329295,25.41254674696468,25.416230770636407,25.419914794308134,25.42359881797986,21.706418933205942,21.71010295687767,21.713786980549397
9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,17.921471560250918,17.92928937826472,17.937107196278518,17.944925014292316,17.952742832306114,10.064564456382987,10.072382274396785,10.080200092410585
14.99,11.99,11.99,14.99,14.99,14.99,14.99,14.99,15.241317633975772,15.243528048178808,15.245738462381844,15.247948876584882,15.25015929078792,13.019851359923566,13.022061774126604,13.02427218832964
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
169.99,144.49,144.48,169.99,169.99,169.99,169.99,169.99,172.12661727333958,172.14540947482598,172.16420167631236,172.18299387779876,172.20178607928517,153.2404547795068,153.2592469809932,153.2780391824796
159.95,159.95,149.95,199.95,199.95,199.95,199.95,199.95,205.41147535848256,205.45940356015694,205.50733176183127,205.55525996350565,205.60318816518,157.2436326757563,157.29156087743064,157.33948907910502
199.99,139.99,139.99,199.99,169.99,169.99,169.99,169.99,177.97216005826567,177.98978072064594,178.0074013830262,178.0250220454065,178.04264270778677,160.26339436608689,160.28101502846715,160.29863569084745
22.49,16.02,16.02,22.49,22.49,22.49,22.49,22.49,23.032008363941078,23.036775490572293,23.04154261720351,23.046309743834726,23.05107687046594,18.24104609956849,18.245813226199704,18.250580352830923
31.49,24.49,24.49,34.99,34.99,34.99,34.99,34.99,36.017765758745725,36.02679504298137,36.035824327217014,36.04485361145265,36.05388289568829,26.943335101925744,26.952364386161385,26.961393670397026
49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96
