10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
9.8,9.8,8.8,9.8,9.8,9.8,9.8,9.8,20.5039674127453,20.608432683349783,20.71308170993609,20.817914492504197,20.922931031054116,8.407775601464484,8.32756611034685,8.247540375211027
28.53,28.53,28.55,28.58,27.68,27.68,28.27,28.27,27.57562457710806,27.57059915489552,27.565565722124834,27.56052427879601,27.55547482490904,28.576716600778646,28.579741789500364,28.58275896766394
9.95,6.96,6.96,9.95,9.95,9.95,9.95,9.95,42.00977999064223,42.32254276234882,42.63585374486482,42.949712938190245,43.26412034232514,4.811981748804698,4.573792657045509,4.336151776095733
68.39,68.38,68.38,68.38,68.38,89.99,89.99,89.99,775.1482306854481,781.9201776900313,788.7040533839846,795.499857767309,802.3075908400025,-0.5271019795084158,-5.743487791905864,-10.947944914932918
18.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,38.3718014546086,38.58064348098361,38.78985546664342,38.99943741158804,39.20938931581747,15.505532807097602,15.342565752241253,15.179968656669711
79.49,47.49,47.49,79.49,79.49,79.49,79.49,79.49,422.604702241208,425.9519961190053,429.30515713589955,432.6641852918918,436.0290805869815,24.501175906716185,21.951994991567744,19.408681215516765
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
16.0,12.8,12.8,16.0,16.0,16.0,16.0,16.0,50.31147022405851,50.646199611837986,50.9815157135272,51.317418529126215,51.653908058634926,10.501117590734609,10.246199499219735,9.991868121614615
30.6,27.2,27.2,34.0,34.0,34.0,34.0,34.0,70.56281175338725,70.9190802575815,71.27596659804978,71.6334707747921,71.99159278780846,24.838469108146448,24.57381215693318,24.30977304199395
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
21.59,33.99,23.99,33.99,33.99,33.99,33.99,33.99,8.462505108765082,8.212337251284449,7.961713206056142,7.710632973080217,7.459096552356559,29.2714526107553,29.479753439688263,29.687598080873542
26.99,23.99,23.99,29.99,29.99,29.99,29.99,29.99,62.251304488313416,62.5656590508379,62.88055876301589,63.19600362484744,63.51199363633262,21.90629627186312,21.67277543255731,21.439799742905052
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
35.05,31.16,31.16,38.95,38.95,38.95,38.95,38.95,80.78247249029336,81.19008739223814,81.59840915525155,82.0074377793336,82.41717326448432,28.458369161015483,28.155588688953884,27.85351507796095
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,78.60167222511083,79.12468689351631,79.64861830240577,80.1734664517793,80.6992313416367,16.39799623550315,15.999686717511182,15.602293940003179
