10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99
44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99
9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99
39.99,31.45,30.33,30.06,31.45,35.49,39.99,42.99,36.26468199599032,36.266990896643726,36.26929979729712,36.271608697950526,36.27391759860392,33.944236839323054,33.94654573997646,33.948854640629854
20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99
63.99,47.16,45.86,44.63,47.16,47.16,63.99,63.99,53.52938599823011,53.53057117703415,53.53175635583819,53.53294153464223,53.53412671344627,52.338281300169946,52.33946647897399,52.340651657778025
59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
24.95,21.25,20.87,20.87,21.25,24.95,24.95,24.95,23.527110133055576,23.528262694055698,23.529415255055824,23.530567816055946,23.531720377056068,22.368786327932273,22.369938888932396,22.371091449932518
188.88,229.0,229.0,229.0,229.0,188.88,188.88,188.88,203.55515204673782,203.5432649651633,203.53137788358876,203.51949080201425,203.5076037204397,215.50166902914066,215.48978194756614,215.4778948659916
35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99
9.99,7.76,7.61,7.47,7.92,9.99,9.99,9.99,9.151413627428715,9.152101074729883,9.152788522031049,9.153475969332217,9.154163416633384,8.460529089755738,8.461216537056906,8.461903984358074
14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
169.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,154.35505411501202,154.3495133956191,154.3439726762262,154.3384319568333,154.33289123744038,159.92347710488602,159.9179363854931,159.9123956661002
199.95,199.95,199.95,199.95,199.95,199.95,219.95,219.95,208.97655629605842,208.9854449413036,208.99433358654875,209.00322223179393,209.01211087703908,200.04346782467047,200.05235646991562,200.0612451151608
99.98,94.33,91.73,89.27,94.33,99.99,99.99,99.99,96.89199656788652,96.89352139474721,96.89504622160788,96.89657104846856,96.89809587532923,95.35954557290647,95.36107039976714,95.36259522662782
34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99
30.99,27.77,27.27,27.27,27.77,30.99,34.99,34.99,31.526049604122452,31.528855453138178,31.5316613021539,31.534467151169622,31.537273000185344,28.706171343320985,28.708977192336707,28.711783041352433
59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99
