 ,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001
Product2,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99
Product3,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99
Product4,39.99,31.45,30.33,30.06,31.45,35.49,39.99,42.99,35.21875,35.21875,35.21875,35.21875,35.21875,35.21875,35.21875,35.21875
Product5,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99
Product6,63.99,47.16,45.86,44.63,47.16,47.16,63.99,63.99,52.9925,52.9925,52.9925,52.9925,52.9925,52.9925,52.9925,52.9925
Product7,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5
Product8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Product9,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Product10,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
Product11,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Product12,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Product13,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Product14,24.95,21.25,20.87,20.87,21.25,24.95,24.95,24.95,23.005,23.005,23.005,23.005,23.005,23.005,23.005,23.005
Product15,188.88,229.0,229.0,229.0,229.0,188.88,188.88,188.88,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005
Product16,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99
Product17,9.99,7.76,7.61,7.47,7.92,9.99,9.99,9.99,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84
Product18,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998
Product19,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998
Product20,169.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,156.865,156.865,156.865,156.865,156.865,156.865,156.865,156.865
Product21,199.95,199.95,199.95,199.95,199.95,199.95,219.95,219.95,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002
Product22,99.98,94.33,91.73,89.27,94.33,99.99,99.99,99.99,96.20125,96.20125,96.20125,96.20125,96.20125,96.20125,96.20125,96.20125
Product23,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99
Product24,30.99,27.77,27.27,27.27,27.77,30.99,34.99,34.99,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003
