,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
Product2,41.58,41.58,41.58,41.58,44.84,44.84,59.90,59.90,47.68,53.94,59.90,41.25,41.25,41.25,41.25,41.25
Product3,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.00,9.98
Product4,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,36.99,36.99,36.99,36.99,36.99,36.99,36.99,36.99
Product5,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
Product6,49.99,49.99,49.99,49.99,79.99,79.99,79.99,79.99,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00
Product7,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
Product8,24.97,24.97,24.87,24.87,29.89,24.87,24.87,24.87,24.41,24.41,24.41,24.41,24.41,24.41,24.41,24.41
Product9,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23
Product10,30.11,29.26,29.75,29.26,29.26,29.26,29.26,29.26,24.98,24.98,25.02,25.77,25.43,25.43,25.43,25.43
Product11,26.37,26.33,26.30,26.21,26.21,25.99,24.90,24.90,29.80,29.80,29.80,29.80,29.80,29.80,29.80,29.80
Product12,32.95,32.95,32.95,28.99,28.99,32.95,33.95,33.95,23.98,23.98,23.98,23.98,23.98,23.98,23.98,23.98
Product13,34.94,34.94,34.94,29.95,29.95,29.95,29.95,29.95,24.00,24.00,24.00,26.20,29.45,29.45,29.45,29.45
Product14,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
Product15,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,189.98,189.98,165.53,189.98,189.98,189.98,189.98,199.98
Product16,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99
Product17,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97
Product18,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,14.99,14.99,14.49,14.49,14.49,14.49,14.49,14.49
Product19,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
Product20,159.00,159.00,159.00,169.00,139.99,169.00,169.00,169.00,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99
Product21,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,149.95,149.95,149.95,149.95,149.95,149.95,149.95,149.95
Product22,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,99.99,99.99,99.99,99.99,88.82,88.82,88.82,88.82
