10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
41.58,41.58,41.58,41.58,44.84,44.84,59.9,59.9,51.31579915577449,51.32538149386671,51.33496383195892,51.344546170051146,51.35412850814336,41.68554937309599,41.6951317111882,41.704714049280426
9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98
64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29
15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
49.99,49.99,49.99,49.99,79.99,79.99,79.99,79.99,77.03419262124973,77.06078024293019,77.08736786461066,77.11395548629112,77.14054310797158,50.31363283238442,50.340220454064884,50.36680807574535
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
24.97,24.97,24.87,24.87,29.89,24.87,24.87,24.87,25.99068620732863,25.99171973096512,25.992753254601606,25.993786778238093,25.99482030187458,24.951994952659152,24.953028476295643,24.95406199993213
44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23
30.11,29.26,29.75,29.26,29.26,29.26,29.26,29.26,29.203567890454302,29.203073559086654,29.202579227719003,29.20208489635135,29.2015905649837,29.700370914943107,29.699876583575456,29.699382252207805
26.37,26.33,26.3,26.21,26.21,25.99,24.9,24.9,25.55363875488484,25.552871401142863,25.55210404740089,25.55133669365891,25.550569339916937,26.32482926557079,26.324061911828817,26.32329455808684
32.95,32.95,32.95,28.99,28.99,32.95,33.95,33.95,31.621093969034625,31.619793955721235,31.618493942407845,31.61719392909446,31.61589391578107,32.927607348990925,32.926307335677535,32.92500732236415
34.94,34.94,34.94,29.95,29.95,29.95,29.95,29.95,29.32074967108097,29.315229802805213,29.30970993452945,29.304190066253692,29.298670197977934,34.86821728821922,34.86269741994346,34.8571775516677
38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99
22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99
9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97
11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
159.0,159.0,159.0,169.0,139.99,169.0,169.0,169.0,163.73595371835134,163.74061641971636,163.74527912108138,163.74994182244637,163.7546045238114,159.0499388465123,159.0546015478773,159.05926424924232
139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99
139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99
32.99,29.99,22.49,22.49,22.49,22.49,22.49,22.49,21.730282204697275,21.72363823605422,21.71699426741117,21.71035029876812,21.703706330125065,28.40747069096491,28.40082672232186,28.394182753678805
27.0,27.97,27.97,27.97,27.97,27.97,27.97,27.97,28.01105983389589,28.011418133749963,28.011776433604037,28.012134733458115,28.01249303331219,27.650968480550706,27.65132678040478,27.651685080258854
49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96
18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99,474.99
31.03,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.445022280348653,28.44410621474236,28.443190149136065,28.44227408352977,28.441358017923477,29.365668214674486,29.36475214906819,29.363836083461898
24.99,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.60115531830748,19.59924561702339,19.5973359157393,19.59542621445521,19.59351651317112,21.520405108817382,21.518495407533294,21.516585706249202
28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98
12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97
24.99,24.99,20.99,24.99,24.99,24.99,24.99,24.99,25.156953818201753,25.158426122436193,25.159898426670633,25.161370730905077,25.162843035139517,23.67728806258859,23.678760366823035,23.680232671057475
29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
8.95,8.84,8.83,8.83,8.95,8.95,8.95,8.95,8.932676862504014,8.932735199948835,8.932793537393657,8.932851874838478,8.932910212283298,8.874047730458686,8.874106067903508,8.874164405348328
34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98
149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99
8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98
39.97,33.97,33.97,33.97,33.97,39.97,39.97,39.97,37.77531125921169,37.77708898826073,37.77886671730976,37.78064444635879,37.782422175407824,35.9886935649341,35.990471293983134,35.992249023032166
6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98
119.99,117.99,117.99,117.99,117.99,117.99,117.99,117.99,117.90534054866826,117.90460178608255,117.90386302349683,117.9031242609111,117.90238549832539,118.64779694731813,118.64705818473242,118.64631942214669
28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95,39.95
