Unnamed: 0,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.8799999999999994,3.8799999999999994,3.8799999999999994,3.8799999999999994,3.8799999999999994,3.8799999999999994,3.8799999999999994,3.8799999999999994
Product2,41.58,41.58,41.58,41.58,44.84,44.84,59.9,59.9,46.974999999999994,46.974999999999994,46.974999999999994,46.974999999999994,46.974999999999994,46.974999999999994,46.974999999999994,46.974999999999994
Product3,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.980000000000002,9.980000000000002,9.980000000000002,9.980000000000002,9.980000000000002,9.980000000000002,9.980000000000002,9.980000000000002
Product4,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29
Product5,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.989999999999998,15.989999999999998,15.989999999999998,15.989999999999998,15.989999999999998,15.989999999999998,15.989999999999998,15.989999999999998
Product6,49.99,49.99,49.99,49.99,79.99,79.99,79.99,79.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99,64.99
Product7,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
Product8,24.97,24.97,24.87,24.87,29.89,24.87,24.87,24.87,25.5225,25.5225,25.5225,25.5225,25.5225,25.5225,25.5225,25.5225
Product9,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.23,44.230000000000004,44.230000000000004,44.230000000000004,44.230000000000004,44.230000000000004,44.230000000000004,44.230000000000004,44.230000000000004
Product10,30.11,29.26,29.75,29.26,29.26,29.26,29.26,29.26,29.4275,29.4275,29.4275,29.4275,29.4275,29.4275,29.4275,29.4275
Product11,26.37,26.33,26.3,26.21,26.21,25.99,24.9,24.9,25.901250000000005,25.901250000000005,25.901250000000005,25.901250000000005,25.901250000000005,25.901250000000005,25.901250000000005,25.901250000000005
Product12,32.95,32.95,32.95,28.99,28.99,32.95,33.95,33.95,32.21,32.21,32.21,32.21,32.21,32.21,32.21,32.21
Product13,34.94,34.94,34.94,29.95,29.95,29.95,29.95,29.95,31.821249999999992,31.821249999999992,31.821249999999992,31.821249999999992,31.821249999999992,31.821249999999992,31.821249999999992,31.821249999999992
Product14,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996
Product15,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99
Product16,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.990000000000002,22.990000000000002,22.990000000000002,22.990000000000002,22.990000000000002,22.990000000000002,22.990000000000002,22.990000000000002
Product17,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97
Product18,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.989999999999998,11.989999999999998,11.989999999999998,11.989999999999998,11.989999999999998,11.989999999999998,11.989999999999998,11.989999999999998
Product19,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
Product20,159.0,159.0,159.0,169.0,139.99,169.0,169.0,169.0,161.62375,161.62375,161.62375,161.62375,161.62375,161.62375,161.62375,161.62375
Product21,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99
Product22,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99
Product23,32.99,29.99,22.49,22.49,22.49,22.49,22.49,22.49,24.740000000000002,24.740000000000002,24.740000000000002,24.740000000000002,24.740000000000002,24.740000000000002,24.740000000000002,24.740000000000002
Product24,27.0,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.84875,27.84875,27.84875,27.84875,27.84875,27.84875,27.84875,27.84875
