11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
9,9,9,9,9,10,10,8
20,9,9,9,9,30,21,24
9,9,9,9,9,10,10,8
68,68,49,49,68,68,68,90
9,9,9,9,9,10,10,24
85,85,49,49,85,30,21,85
68,68,49,49,68,30,68,90
9,9,9,9,9,10,10,24
20,30,32,30,30,30,21,24
9,9,9,9,9,10,10,24
20,21,21,21,21,30,21,24
20,30,32,30,30,30,21,24
20,9,9,9,9,30,21,24
20,32,49,49,32,30,21,35
190,190,190,190,190,190,190,190
20,9,9,9,9,30,21,24
9,9,9,9,9,10,10,24
9,9,9,9,9,10,10,24
9,9,9,9,9,10,10,8
144,144,144,144,144,144,144,170
150,150,150,150,150,150,150,200
110,110,150,100,100,100,100,170
20,9,9,9,9,30,21,24
20,32,32,32,32,30,21,24
35,32,49,49,32,30,21,35
9,9,9,9,9,10,10,24
599,599,599,599,599,599,599,599
20,30,32,30,30,30,21,24
20,9,9,9,9,10,10,24
20,9,9,9,9,30,21,24
9,9,9,9,9,10,10,24
20,9,9,9,9,30,21,24
20,30,32,30,30,30,21,24
9,9,9,9,9,10,10,8
20,32,32,32,32,30,21,24
64,64,64,64,64,64,64,86
9,9,9,9,9,10,10,8
35,32,49,49,32,30,21,35
9,9,9,9,9,10,10,8
81,81,81,81,81,81,81,81
20,9,9,9,9,30,21,24
20,32,49,49,32,30,21,35
