11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
8.8375,8.8375,8.8375,8.8375,8.8375,8.8375,8.8375,8.8375
28.13125,28.13125,28.13125,28.13125,28.13125,28.13125,28.13125,28.13125
9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001
89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99
18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49
84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005
29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996
199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002
14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38
14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998
4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
166.80125,166.80125,166.80125,166.80125,166.80125,166.80125,166.80125,166.80125
196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002
184.99,184.99,184.99,184.99,184.99,184.99,184.99,184.99
25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002
35.8025,35.8025,35.8025,35.8025,35.8025,35.8025,35.8025,35.8025
52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997
24.785,24.785,24.785,24.785,24.785,24.785,24.785,24.785
12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003
24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002
29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
8.7075,8.7075,8.7075,8.7075,8.7075,8.7075,8.7075,8.7075
34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97
96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001
8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002
72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001
6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995
108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002
27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998
40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996
