11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
8.284701,8.060847,8.051917,8.010875,8.022017,8.013695,8.059129,8.044692
50.583855,48.952362,48.016228,47.440224,48.703796,48.74849,48.18222,48.04242
9.974974,10.0090475,9.98849,9.988496,10.00974,10.180132,10.244394,10.53967
68.89737,68.71366,68.61316,68.5872,68.66565,68.65025,68.57433,88.97978
18.024637,17.814207,18.05637,17.829895,17.780897,17.80691,17.979185,19.172718
46.931213,46.96534,46.95453,46.929768,46.874725,46.913254,46.949486,55.9585
84.33409,84.442856,84.56205,84.56982,84.52279,84.52856,84.52003,84.94037
15.198059,15.306202,15.265348,11.959394,11.910076,11.534037,11.620253,22.513973
27.302864,27.093668,26.407164,26.322277,26.431923,26.357561,27.042126,34.057068
14.801624,14.721298,14.618681,14.26732,14.309403,14.312443,14.271184,18.587357
21.461548,21.45338,21.27052,21.324184,21.399033,21.31224,21.30601,21.282963
23.778332,23.934475,23.978497,24.089766,23.97709,23.935472,21.08689,29.781439
23.430468,23.555359,23.82231,23.744022,23.725594,23.771116,23.265059,23.65215
38.8852,38.676235,38.933666,38.979572,38.897526,38.92607,39.147953,38.94342
189.18172,189.18172,189.20175,189.18172,189.18172,189.18172,189.19005,189.80457
19.691586,19.647602,19.707558,19.734617,19.68747,19.723412,18.244234,25.254646
10.023251,10.012553,10.006216,10.012855,10.004673,9.999056,10.022667,10.1003
15.049987,15.047109,12.369172,11.998895,12.049736,11.624226,11.673306,15.095834
5.263473,5.307025,5.2539334,5.2018156,5.229119,5.1784334,5.36056,5.4036207
144.2362,144.18149,144.34935,144.14378,144.17369,144.15807,144.07939,169.86862
149.41583,149.37582,149.72893,149.45967,149.42764,149.48438,149.33076,199.19635
109.99874,110.036766,149.72893,100.085846,100.05055,100.08394,100.08624,169.86862
19.792847,42.147873,42.17001,39.768127,42.057148,42.12368,45.797104,15.395733
34.923912,34.724937,24.37483,24.436497,24.373322,24.378027,23.603897,35.01966
43.991276,44.154945,43.97096,43.960987,43.95981,43.971493,44.026695,43.968323
14.801624,14.721298,14.618681,14.26732,14.309403,14.312443,14.271184,18.587357
595.77435,595.77435,595.77435,595.77435,595.77435,595.77435,595.77435,595.77435
22.091957,22.045553,22.07906,22.056946,22.11829,22.064896,22.113901,30.290297
10.3454075,10.364248,10.232074,10.39658,10.384901,10.333216,10.635087,27.317741
16.877966,17.009548,17.0507,17.136894,17.074617,17.043247,17.02028,24.489202
13.017105,13.016286,12.699021,12.299412,12.282123,10.180132,10.244394,13.051503
19.691586,19.647602,19.707558,19.734617,19.68747,19.723412,18.244234,25.254646
30.120419,30.108793,29.981192,29.95261,29.916983,29.934877,29.957811,21.334778
9.1992235,9.307431,9.145707,8.961325,8.96369,9.12894,9.176756,9.18949
34.302723,30.067432,29.067095,29.970938,30.021456,30.025707,44.96193,35.01966
63.978424,64.00407,63.977512,63.980362,64.01004,63.99791,63.957645,85.89828
9.052533,9.061699,9.044884,9.024443,9.050158,10.765876,10.776966,10.756815
48.874496,48.874264,48.888844,48.883343,48.88712,48.899467,48.86679,69.8735
8.1029005,8.060847,8.051917,8.010875,8.022017,8.013695,8.059129,8.044692
81.44477,81.480644,81.42121,81.501396,81.45865,81.48787,81.47084,82.27064
32.067318,32.049133,32.037155,32.120785,32.147743,32.142784,32.16662,32.164375
32.83858,32.53697,31.92919,31.96586,31.996265,30.025707,33.03719,39.9442
