11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
10,10,9,10,10,10,10,10
20,32,32,30,30,30,21,24
10,10,9,10,10,10,10,10
68,68,49,68,68,30,68,68
9,9,9,9,9,10,10,10
47,47,49,47,47,30,21,56
85,85,85,85,85,85,85,85
10,10,9,10,10,10,10,10
20,32,32,30,30,30,21,24
9,9,9,9,9,10,10,10
20,21,21,30,30,30,21,24
20,9,21,21,21,30,21,24
20,9,9,9,9,10,10,24
20,32,49,30,30,30,21,24
190,190,190,190,190,190,190,190
20,9,9,9,9,10,10,24
10,10,9,10,10,10,10,10
10,10,9,10,10,10,10,10
10,10,9,10,10,10,10,10
144,144,150,144,144,144,144,170
150,150,150,150,150,150,150,200
110,170,150,100,100,100,100,170
20,9,9,9,9,10,10,24
20,21,21,30,30,30,21,24
35,32,49,30,30,30,21,35
10,10,9,10,10,10,10,10
599,599,599,599,599,599,599,599
20,9,9,9,9,30,21,24
10,10,9,10,10,10,10,10
20,9,9,9,9,10,10,24
10,10,9,10,10,10,10,10
20,9,9,9,9,10,10,24
20,32,32,30,30,30,21,24
10,10,9,10,10,10,10,10
20,32,32,30,30,30,21,24
35,32,49,30,30,30,21,35
10,10,9,10,10,10,10,10
35,32,49,30,30,30,21,35
10,10,9,10,10,10,10,10
81,81,81,81,81,81,81,81
20,9,9,9,9,30,21,24
20,32,49,30,30,30,21,35
