11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
9.813555,9.807563,8.1199875,9.800078,9.678553,9.862283,9.920179,9.883353
50.198112,49.809566,48.000866,51.93238,55.92659,58.703617,51.184464,48.06528
10.015461,10.02064,9.968994,10.023688,10.018131,9.948506,9.920179,9.9414625
68.31243,68.2959,68.326515,68.3162,68.31787,68.324165,68.31891,68.87031
16.929422,16.930237,18.842712,18.762136,18.778326,18.7747,16.774237,17.190828
47.13009,46.99134,47.024178,47.137672,46.989532,47.07842,47.03411,56.10927
84.89862,84.873924,84.91391,84.908554,84.90643,84.91616,84.90789,84.99313
14.807777,14.699597,14.948954,11.231799,11.246858,11.125714,11.172499,22.660753
28.235771,27.933949,27.02791,27.044937,27.080143,27.21288,27.141441,33.983936
14.696579,14.65626,14.629948,14.57753,14.573859,14.612366,14.24203,18.30447
21.329767,21.150242,21.186073,21.225906,21.244524,21.21165,21.17965,21.038885
23.690502,23.585405,23.859331,23.75832,23.731743,23.731133,20.958158,29.875273
23.748486,24.092663,24.044186,24.117027,24.134737,24.063156,24.044811,23.988062
37.90137,37.503593,37.97369,37.840054,37.92686,37.850758,38.49911,38.956635
189.19127,189.29851,189.2023,189.19127,189.19127,189.19127,189.19127,189.9993
19.868824,19.926746,19.841112,19.863846,19.770832,19.826406,18.517328,22.893623
9.802364,9.785262,9.9098625,9.883062,9.871109,10.167694,10.127417,10.375678
12.102886,12.12633,12.141771,11.786016,11.782349,11.165215,11.483139,15.0403185
5.3743515,5.3727193,5.372056,5.2680492,5.290871,5.3362803,5.2065983,5.3279734
144.30586,144.2924,144.32425,144.30995,144.31288,144.31413,144.33885,169.88765
149.33119,149.76013,149.6361,149.39963,149.3658,149.3642,149.48572,199.19615
109.88545,169.46434,149.6361,99.892525,99.8931,99.89797,99.90055,169.88765
18.987019,40.67995,41.138245,38.810863,41.185436,41.08619,45.09609,16.641558
34.898384,34.712826,23.56033,23.50696,23.45685,23.598269,23.311708,34.879055
44.133026,44.007584,44.03112,44.157455,43.9816,44.093346,44.04926,44.12652
14.270517,14.59043,14.416845,14.481822,14.501706,14.359638,14.342389,17.853804
595.7749,595.7749,595.7749,595.7749,595.7749,595.7749,595.7749,595.7749
20.339397,20.757261,20.989735,21.117794,21.215332,21.113262,20.959137,29.875273
10.573072,10.798697,10.56817,10.4879875,10.455277,10.329582,10.093139,21.30815
17.398834,17.876091,17.598188,17.465029,17.606241,17.454277,16.965202,23.002558
12.9274025,12.751191,12.830916,12.153311,12.073727,10.064482,9.908132,12.96801
19.868824,19.926746,19.841112,19.863846,19.770832,19.826406,18.517328,22.893623
30.952824,31.276829,30.88818,31.014832,30.987352,31.012047,46.279133,21.416927
9.244116,9.323038,9.131627,8.994449,8.982452,9.19389,9.174594,9.206801
34.742783,31.126118,29.402744,30.206686,30.223562,30.16459,30.996178,35.024544
63.973656,63.937504,63.945488,63.947243,63.960274,63.97903,64.004196,75.28219
9.084618,9.080102,9.061033,9.060501,9.0815935,10.959627,11.138792,11.035029
48.786293,48.812107,48.802402,48.766556,48.939205,48.719593,48.917942,69.88383
6.980658,6.957537,8.066606,6.9474173,6.952456,6.96952,6.93702,6.9416203
81.41401,81.40087,81.427666,81.41905,81.41662,81.43323,81.4199,81.40029
32.237843,31.860567,32.065384,32.04825,32.04339,31.937994,32.040947,31.890453
33.204266,33.740185,32.817844,32.949547,32.99209,31.185112,32.162384,40.03327
