11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
12,10,7,7,10,10,10,25
30,30,30,30,30,30,30,30
12,10,7,7,10,10,10,25
30,30,30,30,30,30,30,30
30,30,24,30,30,30,30,25
30,30,30,30,30,30,30,60
30,30,30,30,30,30,30,60
12,10,24,30,30,10,10,25
30,30,30,30,30,30,30,30
30,30,24,30,30,30,30,25
30,30,24,30,30,30,30,25
30,30,30,30,30,30,30,25
30,30,24,30,30,30,30,25
30,30,24,30,30,30,30,25
182,180,175,172,184,170,184,184
30,30,30,30,30,30,30,30
12,10,7,7,10,10,10,25
12,10,24,30,30,10,10,25
12,10,24,7,10,10,10,25
160,160,170,170,170,170,170,170
170,170,170,170,170,170,170,170
100,100,94,94,100,100,100,99
30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,25
30,30,30,30,30,30,30,60
30,30,24,30,30,30,30,25
600,600,600,600,600,600,600,600
30,30,30,30,30,30,30,25
30,30,24,30,30,30,30,25
30,30,24,30,30,30,30,25
12,10,24,7,10,10,10,25
12,10,24,30,30,12,12,25
30,30,30,30,30,30,30,25
12,10,7,7,10,10,10,25
30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,99
12,10,24,10,10,10,10,25
30,30,30,30,30,30,30,30
12,10,7,7,10,10,10,25
99,99,82,82,77,96,96,99
30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30
