11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001,3.990000000000001
44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99
9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99
35.21875,35.21875,35.21875,35.21875,35.21875,35.21875,35.21875,35.21875
20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99
52.9925,52.9925,52.9925,52.9925,52.9925,52.9925,52.9925,52.9925
59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5
16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
23.005,23.005,23.005,23.005,23.005,23.005,23.005,23.005
208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005,208.94000000000005
35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99
8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84
14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998
12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998,12.099999999999998
156.865,156.865,156.865,156.865,156.865,156.865,156.865,156.865
204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002,204.95000000000002
96.20125,96.20125,96.20125,96.20125,96.20125,96.20125,96.20125,96.20125
34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99
30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003,30.255000000000003
59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99
18.525,18.525,18.525,18.525,18.525,18.525,18.525,18.525
599.9899999999999,599.9899999999999,599.9899999999999,599.9899999999999,599.9899999999999,599.9899999999999,599.9899999999999,599.9899999999999
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002
24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002
13.590000000000002,13.590000000000002,13.590000000000002,13.590000000000002,13.590000000000002,13.590000000000002,13.590000000000002,13.590000000000002
15.340000000000003,15.340000000000003,15.340000000000003,15.340000000000003,15.340000000000003,15.340000000000003,15.340000000000003,15.340000000000003
30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
4.990000000000001,4.990000000000001,4.990000000000001,4.990000000000001,4.990000000000001,4.990000000000001,4.990000000000001,4.990000000000001
39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99
71.2375,71.2375,71.2375,71.2375,71.2375,71.2375,71.2375,71.2375
14.6875,14.6875,14.6875,14.6875,14.6875,14.6875,14.6875,14.6875
39.2175,39.2175,39.2175,39.2175,39.2175,39.2175,39.2175,39.2175
9.479999999999999,9.479999999999999,9.479999999999999,9.479999999999999,9.479999999999999,9.479999999999999,9.479999999999999,9.479999999999999
102.94,102.94,102.94,102.94,102.94,102.94,102.94,102.94
32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99
38.21,38.21,38.21,38.21,38.21,38.21,38.21,38.21
