11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
3.8758528,3.952672,4.022657,3.9854,4.0226645,3.822958,3.9590068,4.452018
56.945507,56.925495,59.92785,59.927628,59.844707,59.936623,59.94214,59.83092
7.799394,10.009989,7.7947154,7.7415495,7.8590674,7.673622,7.878776,8.508033
33.899536,33.98384,32.065884,31.414585,33.606537,33.42267,33.161674,40.172302
21.12029,21.14662,21.000439,21.02486,21.050167,21.006487,21.024525,20.817356
46.64863,47.033943,45.84656,45.017593,46.728016,48.281345,48.283348,48.70112
117.88345,118.11511,117.357544,117.60492,117.07548,117.85058,117.72059,118.098
13.759017,13.930921,13.888622,13.8196125,13.818561,13.652532,13.533812,13.689108
32.973564,32.91483,24.802753,24.589382,25.132498,24.56154,24.920622,33.161793
17.854345,17.727789,17.974012,17.928967,17.975868,18.01253,17.883106,17.853424
23.472494,23.497494,23.496885,21.520935,21.46932,21.56772,21.444725,21.826141
29.980831,29.970564,29.825924,29.856508,29.785316,29.967648,29.831375,29.961563
23.472494,23.497494,23.496885,21.520935,21.46932,21.56772,21.444725,21.826141
22.78986,22.857933,23.496885,21.603132,21.578773,22.511572,22.704485,23.510807
180.98222,179.20844,174.20006,171.07506,183.54459,170.01791,183.53055,183.65907
35.077644,34.88692,34.97948,35.03687,34.654457,35.1956,34.79206,34.784016
7.8570447,7.616508,7.3058205,7.2557635,7.722502,7.627261,7.618371,7.969395
14.482941,14.323756,13.957531,14.052158,14.056998,14.232679,14.4179125,15.0237875
12.108651,12.068539,12.134611,12.146554,12.147902,12.1333065,12.118425,12.093977
159.87404,159.91151,169.82448,169.83672,169.82826,169.86511,169.8232,169.84717
169.8045,169.7962,169.82448,169.83672,169.82826,169.86511,169.8232,169.84717
99.25164,99.49619,93.05169,93.255486,98.76938,99.15963,98.94423,99.160645
30.151443,30.148533,26.772657,26.619848,26.81201,26.570566,26.808004,29.322536
23.002285,22.923706,21.7462,21.64537,22.973867,22.966095,22.969412,33.300636
60.692627,50.628605,50.86633,50.7656,51.02499,50.60741,50.719822,60.541878
17.295422,17.32417,16.097578,14.267932,14.283282,14.280777,15.2277565,17.243473
596.7649,596.7649,596.7649,596.7649,596.7649,596.7649,596.7649,596.7649
29.980831,29.970564,29.825924,29.856508,29.785316,29.967648,29.831375,29.961563
21.318941,21.40963,21.30992,20.977177,21.23813,20.968771,21.377851,25.229069
21.318941,21.40963,21.30992,20.977177,21.23813,20.968771,21.377851,25.229069
12.185044,12.226027,12.307946,12.258941,12.296257,12.248368,12.289341,13.216465
14.584612,14.49342,14.765964,14.7483015,14.780442,14.743753,24.513021,24.805328
29.980831,29.970564,29.825924,29.856508,29.785316,29.967648,29.831375,29.961563
5.081301,5.073692,4.382473,4.3767514,4.3359847,4.3478856,4.275457,5.0650096
39.92271,39.827213,39.940258,39.985973,39.93405,39.978436,39.974087,39.938797
74.11267,74.163704,74.16446,74.11275,74.08348,74.11373,74.07751,74.127335
24.79215,24.670757,10.055917,10.0454235,10.064088,10.035192,10.004342,24.461742
36.751442,36.721943,35.785877,35.8025,36.61032,37.36244,37.610626,38.937107
9.171028,9.787378,9.919371,9.942125,9.815342,9.982351,9.889822,8.640513
99.19062,98.819725,83.33719,83.0986,78.50916,97.049446,97.22199,98.97757
32.778076,32.775826,31.816616,32.06779,31.543573,32.10748,31.853241,32.903614
32.850723,32.178253,31.120665,31.107527,31.286186,31.594105,31.863285,34.264187
