11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
10,10,10,10,10,10,9,10
44,44,24,44,44,44,29,29
10,10,10,10,10,10,9,10
44,44,24,44,44,44,29,29
10,10,10,10,10,10,9,30
44,44,29,44,29,29,29,29
85,85,85,85,29,29,29,29
30,30,30,30,30,30,30,30
44,44,24,44,44,44,30,30
24,24,24,30,30,30,30,30
30,30,30,30,30,30,30,30
24,24,24,30,30,30,30,30
24,24,24,30,30,30,30,30
24,24,24,30,30,30,30,30
190,190,166,190,190,190,190,200
30,30,30,30,30,30,30,30
10,10,10,10,10,10,9,10
10,10,10,10,10,10,9,10
10,10,10,10,10,10,9,10
170,170,170,170,170,170,170,170
150,150,150,150,150,150,150,150
150,150,150,150,150,150,150,150
30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30
44,44,24,44,44,44,29,29
10,10,10,10,10,10,30,30
520,520,520,530,530,530,530,530
24,24,24,30,30,30,30,30
10,10,10,10,10,10,30,30
24,24,24,30,30,30,30,30
10,10,10,10,10,10,9,10
30,30,30,30,30,30,30,30
24,24,24,30,30,30,30,30
10,10,10,10,10,10,9,10
24,24,24,30,30,30,30,30
150,150,150,150,150,150,150,150
10,10,10,10,10,10,9,10
24,24,24,30,30,30,30,30
10,10,10,10,10,10,9,10
117,117,117,117,116,116,115,115
24,24,24,30,30,30,30,30
24,24,24,30,30,30,30,30
