11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
4.509194,4.521475,4.511845,4.511636,4.5454087,4.5454087,4.5072236,4.45567
46.442036,52.68065,58.844738,41.110863,41.010582,41.010582,41.00987,41.170895
10.527661,10.561836,10.039494,10.059012,10.511344,10.511344,9.907585,10.447715
37.258633,37.308083,37.228596,37.246178,37.238094,37.238094,37.287537,37.136337
15.933788,15.862413,15.780685,15.788678,15.923233,15.923233,16.054161,16.052965
30.343672,30.397465,30.265043,30.087301,30.31387,30.31387,30.336945,29.806187
84.89526,84.89401,84.92881,84.86975,84.89436,84.89436,84.91997,84.92045
24.532711,24.347448,24.494892,24.502934,24.45006,24.45006,24.417927,24.443062
43.93584,43.922874,44.03748,43.56942,43.375645,43.375645,42.886036,43.651443
25.116795,25.215244,25.303324,26.123,25.796545,25.796545,25.56073,25.80394
28.58691,28.763895,28.560886,28.61386,28.138287,28.138287,29.31469,29.206335
24.660383,24.700005,24.807467,25.378609,25.453983,25.453983,24.60141,25.222198
24.660383,24.700005,24.807467,26.367199,29.41534,29.41534,29.508127,29.393549
37.188206,37.173702,37.17463,37.418896,37.21622,37.21622,37.283672,38.88834
189.30876,189.31453,165.40517,189.29507,189.30199,189.30199,189.31369,199.26762
23.258512,23.353834,23.309534,23.233112,23.268349,23.268349,22.905546,23.083042
10.527661,10.561836,10.039494,10.059012,10.511344,10.511344,10.087514,10.447715
14.05707,14.037666,13.776362,13.785386,13.784655,13.784655,13.852184,13.812472
4.9088383,4.91489,4.9297647,4.9290614,4.9462447,4.9462447,4.933213,4.9224935
169.44794,169.4517,169.26524,169.42844,169.44826,169.44826,169.45981,169.4336
124.799194,124.80695,124.8724,124.81955,119.21768,119.21768,119.20782,119.29604
124.799194,124.80695,124.8724,124.81955,119.21768,119.21768,119.20782,119.29604
14.879073,14.8661995,14.887888,14.91961,15.031234,15.031234,16.06671,29.73019
28.354975,28.294703,28.410715,28.39918,27.649574,27.649574,28.284496,28.16839
43.728096,43.765232,40.8176,43.56942,43.375645,43.375645,41.825928,43.651443
17.49102,17.484371,17.555485,17.698387,17.372402,17.372402,16.054161,16.052965
517.2336,517.2336,517.2336,527.17444,527.17444,527.17444,527.17444,527.15314
26.644487,26.695694,26.649784,26.811779,26.759043,26.759043,26.585585,29.275745
11.629722,11.724502,11.390903,11.221134,12.061609,12.061609,23.220982,23.599659
28.937843,28.7561,28.731762,28.644981,28.358145,28.358145,28.950485,29.275745
13.991568,14.009502,13.663514,13.662745,13.784655,13.784655,13.852184,13.812472
15.888452,16.012245,15.924577,15.988894,19.98706,19.98706,20.769957,21.256245
30.010635,29.996098,29.92451,29.900377,30.158037,30.158037,30.136547,29.43225
9.094823,8.948262,9.153108,8.998519,9.042669,9.042669,9.003597,8.936824
34.95552,35.008694,34.882217,34.87721,34.911438,34.911438,34.982594,35.205456
149.7887,149.77573,149.8656,149.8179,149.77713,149.77713,149.76828,149.85127
12.150678,12.200027,9.153108,9.081261,15.621585,15.621585,15.85169,15.88896
33.955196,33.902077,33.964535,34.013237,33.8988,33.8988,39.954094,33.13512
7.0950503,7.0940366,7.0899644,7.0974154,7.086603,7.086603,7.0603237,7.0904355
116.76775,116.75859,116.825554,116.83182,115.85344,115.85344,114.84429,114.90364
28.354975,28.294703,28.410715,28.39918,27.32621,27.32621,28.284496,28.16839
33.612576,33.45612,33.460064,33.188953,33.40424,33.40424,33.423454,39.902687
